load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,1.94m,3.52m,4.56m,0004200
50,51.68,2.12m,3.69m,7.49m,0002375
100,100.16,2.02m,3.37m,4.61m,
150,150.17,1.96m,3.37m,4.43m,
200,200.16,2.01m,3.37m,4.51m,
250,249.06,2.09m,3.68m,7.26m,
300,298.03,2.25m,4.65m,9.44m,
350,350.16,1.98m,3.38m,4.45m,
400,394.58,2.98m,11.29m,14.28m,
450,446.72,3.00m,10.14m,12.92m,
500,491.97,3.05m,11.24m,14.14m,
1000,1000.11,2.02m,3.38m,4.39m,
2000,1999.23,1.97m,3.33m,4.53m,
4000,3985.79,2.02m,4.07m,8.01m,
6000,5977.83,2.03m,4.19m,7.89m,
8000,7992.27,2.04m,4.47m,7.05m,
10000,9987.43,2.47m,6.82m,10.48m,
12000,11922.23,3.64m,13.41m,21.15m,
14000,13981.64,6.38m,22.70m,37.02m,
16000,15965.00,16.91m,51.39m,111.10m,
18000,17809.13,69.18m,288.77m,582.14m,
20000,18956.55,1.15,2.12,2.98,
22000,18985.36,3.98,5.53,6.48,
24000,18885.28,5.91,8.81,9.96,
26000,19310.00,7.29,10.76,11.98,
28000,18703.39,9.22,13.40,14.77,
30000,18974.41,9.49,14.80,16.15,
35000,18922.20,9.95,14.83,16.47,
40000,18922.20,9.95,14.83,16.47,
45000,18922.20,9.95,14.83,16.47,
50000,18922.20,9.95,14.83,16.47,
