load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,1.37m,2.30m,3.01m,0004200
50,51.50,1.55m,2.65m,3.84m,0002375
100,99.62,1.55m,2.74m,4.41m,
150,149.86,1.55m,2.68m,4.43m,
200,199.61,1.55m,2.62m,3.88m,
250,249.06,1.58m,2.69m,4.20m,
300,299.13,1.53m,2.66m,3.99m,
350,345.08,2.16m,4.80m,8.14m,
400,397.99,1.71m,3.32m,6.17m,
450,452.90,1.46m,2.43m,3.21m,
500,498.68,1.55m,2.66m,4.06m,
1000,1000.13,1.45m,2.38m,3.15m,
2000,1977.90,1.91m,4.68m,8.30m,
4000,3943.86,2.05m,4.55m,9.36m,
6000,5930.43,1.87m,5.04m,8.39m,
8000,7927.52,1.67m,2.90m,6.80m,
10000,9988.79,1.41m,2.53m,4.16m,
12000,11986.35,1.43m,2.67m,4.93m,
14000,13946.23,1.54m,3.08m,7.30m,
16000,15981.22,1.58m,3.37m,8.65m,
18000,17931.38,1.90m,5.51m,14.43m,
20000,19973.57,2.20m,7.47m,18.27m,
22000,21913.71,2.87m,10.79m,60.29m,
24000,23842.85,5.61m,16.48m,117.63m,
26000,25960.10,11.67m,34.17m,192.51m,
28000,27619.54,46.56m,198.53m,427.01m,
30000,28599.83,1.23,2.24,2.99,
35000,28008.60,1.56,2.72,3.58,
40000,28008.60,1.56,2.72,3.58,
45000,28008.60,1.56,2.72,3.58,
50000,28008.60,1.56,2.72,3.58,
