load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.27m,3.21m,4.05m,0004200
50,52.02,2.23m,3.19m,3.99m,0002400
100,100.17,2.27m,3.24m,3.99m,
150,150.17,2.25m,3.18m,4.06m,
200,199.68,2.36m,3.64m,7.10m,
250,249.10,2.34m,3.58m,6.40m,
300,299.06,2.35m,3.62m,6.11m,
350,350.15,2.26m,3.17m,4.08m,
400,399.04,2.35m,3.67m,7.03m,
450,452.89,2.24m,3.16m,3.98m,
500,500.15,2.28m,3.19m,4.03m,
1000,994.57,2.52m,6.97m,11.02m,
2000,1982.97,2.67m,9.57m,14.03m,
4000,3996.70,2.26m,3.53m,5.06m,
6000,5994.18,2.38m,4.26m,6.50m,
8000,7969.58,3.23m,8.87m,14.81m,
10000,9908.57,7.78m,18.54m,27.41m,
12000,11983.02,15.75m,29.33m,49.25m,
14000,13840.11,145.02m,428.03m,723.97m,
16000,14107.16,3.08,4.71,5.56,
18000,14123.42,5.73,8.75,9.84,
20000,14131.84,7.82,11.93,13.18,
22000,14230.57,9.58,14.57,15.93,
24000,14133.16,10.85,16.52,17.97,
26000,14074.14,12.31,18.76,20.33,
28000,14109.37,13.40,20.27,21.94,
30000,14015.78,14.60,22.10,23.82,
35000,14486.52,15.96,24.23,26.13,
40000,14517.61,17.29,26.20,28.31,
45000,14512.59,18.53,27.95,30.20,
50000,14461.22,19.51,29.51,31.69,
