load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.34m,2.49m,3.27m,0004125
50,52.02,1.17m,1.72m,2.19m,0002400
100,99.78,1.37m,2.28m,4.07m,
150,150.17,1.14m,1.70m,2.19m,
200,199.61,1.22m,1.85m,2.84m,
250,250.16,1.17m,1.67m,2.16m,
300,300.17,1.19m,1.72m,2.20m,
350,349.19,1.22m,1.89m,2.72m,
400,400.17,1.15m,1.70m,2.18m,
450,452.94,1.14m,1.68m,2.20m,
500,500.16,1.14m,1.68m,2.12m,
1000,997.40,1.23m,1.89m,2.74m,
2000,1993.72,1.19m,1.91m,2.85m,
4000,3965.61,1.35m,2.37m,3.51m,
6000,5994.37,1.04m,1.61m,2.09m,
8000,7969.76,1.18m,1.92m,2.65m,
10000,9989.27,1.06m,1.78m,2.21m,
12000,11954.21,1.11m,1.80m,2.69m,
14000,13945.84,1.11m,1.87m,2.90m,
16000,15896.68,1.25m,2.23m,4.04m,
18000,17979.77,1.07m,1.73m,2.55m,
20000,19924.12,1.32m,2.14m,4.13m,
22000,21973.47,1.14m,1.88m,5.37m,
24000,23844.70,1.34m,2.58m,8.30m,
26000,25968.37,1.30m,2.86m,10.59m,
28000,27672.01,1.66m,4.41m,11.05m,
30000,29959.70,1.45m,4.92m,11.25m,
35000,34774.75,2.15m,9.01m,19.52m,
40000,39835.31,4.62m,19.18m,41.02m,
45000,44689.11,8.77m,34.81m,74.50m,
50000,49911.63,30.03m,108.61m,223.62m,
