load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.35m,1.88m,2.35m,0004150
50,52.02,1.17m,1.67m,2.19m,0002400
100,99.15,1.36m,2.25m,3.38m,
150,150.17,1.12m,1.68m,2.20m,
200,198.99,1.43m,2.44m,3.51m,
250,250.17,1.14m,1.68m,2.17m,
300,298.24,1.28m,2.04m,2.96m,
350,348.39,1.31m,2.22m,3.24m,
400,398.43,1.34m,2.19m,3.35m,
450,452.92,1.16m,1.69m,2.19m,
500,500.15,1.14m,1.68m,2.17m,
1000,991.87,1.42m,2.42m,3.74m,
2000,1988.43,1.31m,2.20m,3.36m,
4000,3975.66,1.22m,2.19m,3.25m,
6000,5962.37,1.22m,2.08m,2.93m,
8000,7969.96,1.14m,1.91m,2.77m,
10000,9988.89,1.09m,1.79m,2.21m,
12000,11954.71,1.12m,1.85m,2.83m,
14000,13945.42,1.12m,1.89m,2.96m,
16000,15982.25,1.06m,1.70m,2.37m,
18000,17978.62,1.08m,1.74m,2.56m,
20000,19975.06,1.24m,2.03m,3.39m,
22000,21858.04,1.34m,2.44m,6.42m,
24000,23971.48,1.30m,3.41m,12.03m,
26000,25969.48,1.37m,3.99m,11.01m,
28000,27818.64,1.59m,5.22m,11.92m,
30000,29961.18,1.50m,5.94m,12.39m,
35000,34863.27,2.49m,11.56m,26.13m,
40000,39839.22,8.38m,34.05m,74.94m,
45000,44519.64,52.83m,199.04m,427.52m,
50000,45678.74,2.42,3.80,4.60,
