load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,3.04m,6.18m,9.48m,0004150
50,52.02,2.55m,4.09m,6.03m,0002400
100,100.17,2.53m,3.95m,5.41m,
150,150.17,2.54m,3.99m,5.49m,
200,199.60,2.80m,5.29m,10.52m,
250,250.16,2.54m,3.98m,5.45m,
300,300.15,2.51m,3.99m,5.62m,
350,349.09,2.72m,4.55m,8.63m,
400,400.15,2.54m,4.03m,5.84m,
450,452.89,2.55m,4.00m,5.53m,
500,496.92,3.00m,8.98m,13.27m,
1000,1000.09,2.56m,4.01m,5.44m,
2000,1993.76,3.12m,7.24m,12.85m,
4000,3996.36,3.57m,6.76m,11.30m,
6000,5977.09,6.32m,15.43m,27.52m,
8000,7966.94,14.78m,39.68m,83.26m,
10000,9729.52,331.52m,1.12,1.65,
12000,10266.55,3.76,5.74,6.59,
14000,10336.77,7.10,10.77,11.78,
16000,10193.75,10.03,14.93,16.26,
18000,10241.87,11.57,17.43,19.07,
20000,10142.98,13.54,20.30,22.00,
22000,10356.02,14.43,22.04,23.59,
24000,10182.43,15.09,24.12,25.71,
26000,10227.77,16.73,24.95,26.98,
28000,10103.16,17.92,26.61,28.51,
30000,10202.24,18.10,27.25,29.31,
35000,10132.99,19.02,28.85,31.46,
40000,10092.88,20.55,30.61,33.16,
45000,9838.68,21.73,32.44,34.83,
50000,10224.26,21.58,32.60,35.36,
