load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.16m,3.18m,4.42m,0004175
50,51.18,2.11m,3.75m,6.68m,0002350
100,97.52,3.48m,10.53m,13.46m,
150,149.17,2.17m,4.67m,7.96m,
200,198.67,2.25m,5.90m,9.98m,
250,248.05,2.18m,4.63m,8.50m,
300,300.16,1.92m,2.75m,3.92m,
350,350.16,1.90m,2.71m,3.68m,
400,400.16,1.94m,2.77m,3.71m,
450,451.28,2.00m,3.08m,5.94m,
500,500.14,1.92m,2.73m,3.64m,
1000,989.24,2.50m,7.47m,11.14m,
2000,1988.42,2.10m,4.50m,8.20m,
4000,3953.76,2.52m,8.56m,12.24m,
6000,5994.37,1.92m,3.03m,4.65m,
8000,7991.46,2.07m,3.51m,5.78m,
10000,9988.58,2.36m,4.86m,8.85m,
12000,11921.75,2.82m,8.19m,13.59m,
14000,13982.21,3.47m,10.06m,19.93m,
16000,15894.48,7.04m,18.56m,34.69m,
18000,17974.44,10.73m,31.55m,70.78m,
20000,19966.62,17.44m,66.88m,148.48m,
22000,21953.27,67.65m,246.01m,453.12m,
24000,22824.85,1.32,2.10,2.67,
26000,22555.77,3.62,5.38,6.16,
28000,22442.97,5.19,7.60,8.52,
30000,22813.88,6.42,9.79,10.86,
35000,22663.47,9.64,14.56,15.75,
40000,22593.41,12.22,17.94,19.45,
45000,22878.20,13.62,20.51,22.00,
50000,22806.35,14.78,22.18,23.95,
