load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.29m,3.22m,4.11m,0004200
50,51.57,2.32m,3.57m,6.36m,0002375
100,100.16,2.29m,3.17m,4.12m,
150,146.86,4.93m,15.65m,20.91m,
200,199.68,2.35m,3.75m,6.53m,
250,247.99,2.49m,5.41m,9.02m,
300,300.16,2.27m,3.19m,4.01m,
350,350.14,2.23m,3.19m,4.08m,
400,399.04,2.35m,3.67m,6.67m,
450,452.92,2.27m,3.18m,4.11m,
500,496.91,2.50m,6.54m,10.14m,
1000,1000.09,2.26m,3.21m,4.00m,
2000,1993.76,2.32m,4.02m,7.47m,
4000,3975.34,2.50m,8.11m,13.73m,
6000,5961.56,2.73m,10.18m,16.64m,
8000,7969.49,3.14m,8.61m,14.54m,
10000,9987.87,7.49m,18.11m,23.92m,
12000,11979.91,16.08m,29.98m,50.21m,
14000,13927.59,142.98m,397.82m,665.60m,
16000,14105.01,3.19,4.97,5.84,
18000,14096.01,5.82,8.76,9.76,
20000,14053.53,8.00,12.22,13.48,
22000,14013.76,9.94,15.03,16.31,
24000,14045.66,11.08,17.02,18.50,
26000,14093.72,12.48,18.89,20.51,
28000,14039.12,13.63,20.56,22.28,
30000,14073.99,14.39,21.71,23.49,
35000,14554.96,16.04,24.26,26.10,
40000,14541.26,17.30,26.21,28.31,
45000,14431.30,18.60,28.21,30.29,
50000,14546.36,19.56,29.33,31.62,
