load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,2.68m,4.02m,5.53m,0004200
50,50.98,2.92m,7.40m,12.93m,0002350
100,99.63,2.81m,4.88m,9.21m,
150,148.51,3.48m,12.85m,17.10m,
200,200.16,2.49m,3.96m,5.44m,
250,249.06,2.75m,4.64m,9.14m,
300,297.96,3.08m,9.02m,13.33m,
350,350.16,2.57m,4.02m,5.64m,
400,397.93,3.19m,10.23m,15.00m,
450,452.89,2.56m,4.01m,5.46m,
500,496.83,2.97m,8.38m,13.11m,
1000,991.64,3.68m,13.30m,18.21m,
2000,1999.25,2.73m,4.38m,6.91m,
4000,3996.62,3.58m,6.76m,11.08m,
6000,5961.90,7.41m,17.41m,29.06m,
8000,7988.96,13.74m,35.36m,71.17m,
10000,9946.42,242.56m,739.84m,1.08,
12000,10123.10,4.05,6.50,7.37,
14000,10257.74,7.56,10.96,12.04,
16000,10195.34,9.77,14.97,16.25,
18000,9983.87,11.99,17.94,19.68,
20000,10313.75,13.21,20.20,21.69,
22000,10141.81,14.52,21.92,23.58,
24000,10272.14,15.62,23.59,25.51,
26000,10094.53,16.66,24.99,27.23,
28000,9974.12,17.29,26.59,28.52,
30000,10016.55,18.28,27.31,29.61,
35000,10191.78,19.28,29.34,31.51,
40000,10200.36,20.55,30.77,33.23,
45000,10128.35,21.04,31.98,34.47,
50000,9973.77,21.51,32.52,34.96,
