load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.03m,3.31m,5.03m,0004200
50,52.02,2.01m,3.41m,4.54m,0002400
100,100.17,2.01m,3.36m,4.38m,
150,150.17,1.98m,3.41m,4.41m,
200,200.17,1.98m,3.32m,4.32m,
250,250.17,2.00m,3.39m,4.44m,
300,300.15,1.98m,3.36m,4.44m,
350,347.03,2.54m,8.69m,11.68m,
400,396.86,2.61m,8.78m,12.15m,
450,449.81,2.27m,4.96m,9.14m,
500,498.51,2.10m,3.76m,7.03m,
1000,1000.09,2.00m,3.38m,4.37m,
2000,1999.31,1.97m,3.34m,4.62m,
4000,3996.67,1.90m,3.43m,5.10m,
6000,5994.13,1.94m,3.64m,5.64m,
8000,7949.03,2.18m,6.34m,10.90m,
10000,9987.85,2.50m,6.92m,10.51m,
12000,11922.66,3.78m,14.10m,21.69m,
14000,13980.57,6.76m,23.57m,40.90m,
16000,15763.54,17.52m,50.69m,104.06m,
18000,17851.31,91.84m,432.89m,880.13m,
20000,18790.70,1.68,2.81,3.73,
22000,18700.98,4.13,6.30,7.41,
24000,18895.31,5.46,8.46,9.65,
26000,19061.07,6.95,10.64,11.96,
28000,18967.64,8.40,13.11,14.55,
30000,18922.20,9.95,14.83,16.47,
35000,18922.20,9.95,14.83,16.47,
40000,18922.20,9.95,14.83,16.47,
45000,18922.20,9.95,14.83,16.47,
50000,18922.20,9.95,14.83,16.47,
