load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.96m,2.95m,4.28m,0004200
50,50.62,2.23m,3.90m,6.73m,0002325
100,100.17,1.89m,2.71m,3.79m,
150,150.17,1.90m,2.71m,3.72m,
200,198.59,2.34m,6.65m,10.03m,
250,250.16,1.89m,2.71m,3.72m,
300,299.30,2.00m,3.10m,5.17m,
350,350.16,1.90m,2.72m,3.66m,
400,396.89,2.29m,5.55m,9.32m,
450,451.31,2.01m,3.12m,5.59m,
500,500.14,1.93m,2.73m,3.74m,
1000,997.41,2.02m,3.03m,5.17m,
2000,1988.47,2.11m,4.66m,8.59m,
4000,3985.67,2.03m,3.46m,7.13m,
6000,5961.96,2.13m,5.03m,9.46m,
8000,7991.36,2.07m,3.50m,5.81m,
10000,9961.56,2.40m,5.50m,10.22m,
12000,11922.10,2.77m,7.91m,13.41m,
14000,13945.77,3.68m,10.81m,20.54m,
16000,15937.15,5.90m,17.28m,33.82m,
18000,17975.38,10.22m,28.93m,64.22m,
20000,19870.12,17.34m,63.13m,130.43m,
22000,21853.34,74.82m,257.02m,483.84m,
24000,22652.15,1.64,2.52,3.10,
26000,22897.67,3.32,4.87,5.60,
28000,22739.60,5.30,7.75,8.66,
30000,22868.12,6.64,9.85,10.74,
35000,22970.83,9.01,14.18,15.34,
40000,23019.64,11.13,17.32,18.71,
45000,22657.29,13.41,20.45,22.17,
50000,22714.40,14.72,22.54,24.30,
