load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.27m,3.89m,5.42m,0004150
50,51.63,2.00m,3.19m,5.45m,0002375
100,99.17,2.17m,3.68m,7.03m,
150,150.17,1.91m,2.74m,3.65m,
200,198.31,2.53m,8.26m,10.87m,
250,248.02,2.12m,3.38m,5.11m,
300,300.14,1.92m,2.74m,3.61m,
350,350.16,1.90m,2.73m,3.74m,
400,400.16,1.89m,2.73m,3.80m,
450,449.86,2.11m,3.82m,7.12m,
500,496.95,2.14m,4.36m,7.06m,
1000,991.84,2.28m,6.53m,10.10m,
2000,1999.24,1.90m,2.75m,3.79m,
4000,3975.26,2.12m,4.76m,9.22m,
6000,5994.17,1.93m,3.04m,4.73m,
8000,7949.01,2.22m,5.40m,9.73m,
10000,9988.68,2.37m,4.89m,8.98m,
12000,11985.63,2.64m,6.73m,12.15m,
14000,13982.77,3.53m,10.22m,20.58m,
16000,15979.14,6.02m,17.71m,35.74m,
18000,17977.59,10.27m,28.96m,64.10m,
20000,19969.58,16.19m,58.08m,116.54m,
22000,21898.03,44.67m,144.13m,258.69m,
24000,23222.53,908.80m,1.62,2.08,
26000,22633.88,3.28,5.18,5.98,
28000,22803.34,4.68,7.52,8.50,
30000,22709.89,6.72,9.99,10.94,
35000,23036.40,9.77,14.25,15.38,
40000,23377.48,11.49,17.37,18.60,
45000,22967.34,13.37,20.30,21.91,
50000,22691.26,14.50,22.05,23.86,
