load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.01m,3.25m,4.48m,0004200
50,51.50,2.03m,3.69m,7.55m,0002375
100,98.60,2.62m,8.34m,11.10m,
150,150.17,2.02m,3.35m,4.35m,
200,200.17,1.98m,3.35m,4.46m,
250,250.16,1.96m,3.33m,4.40m,
300,300.15,1.99m,3.37m,4.35m,
350,350.16,1.98m,3.32m,4.29m,
400,399.06,2.08m,3.76m,7.32m,
450,452.90,1.98m,3.33m,4.37m,
500,493.51,3.00m,10.31m,13.05m,
1000,1000.15,2.00m,3.39m,4.40m,
2000,1993.84,2.08m,3.82m,7.66m,
4000,3986.16,2.03m,4.01m,7.73m,
6000,5946.16,2.30m,7.93m,11.91m,
8000,7991.24,2.03m,4.47m,6.95m,
10000,9960.97,2.50m,7.25m,11.24m,
12000,11984.57,3.46m,13.01m,20.40m,
14000,13908.82,6.52m,22.66m,37.69m,
16000,15970.65,18.19m,52.42m,113.34m,
18000,17903.14,65.73m,249.47m,504.32m,
20000,18976.24,1.10,2.22,3.27,
22000,18467.95,4.17,6.55,7.68,
24000,18564.10,6.28,9.55,10.63,
26000,19368.85,7.47,10.82,11.80,
28000,19077.25,8.68,12.98,14.42,
30000,18925.01,9.53,14.99,16.42,
35000,18922.20,9.95,14.83,16.47,
40000,18922.20,9.95,14.83,16.47,
45000,18922.20,9.95,14.83,16.47,
50000,18922.20,9.95,14.83,16.47,
