load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,2.53m,3.88m,5.35m,0004200
50,52.02,2.57m,4.18m,5.89m,0002400
100,100.17,2.56m,3.98m,5.21m,
150,148.55,3.49m,12.42m,17.12m,
200,200.16,2.58m,4.01m,5.45m,
250,244.70,9.02m,19.74m,25.31m,
300,300.15,2.54m,4.01m,5.57m,
350,349.04,2.71m,5.20m,9.65m,
400,400.16,2.53m,3.98m,5.38m,
450,452.89,2.54m,4.03m,5.49m,
500,491.83,8.55m,19.42m,24.42m,
1000,997.32,2.80m,5.20m,10.57m,
2000,1999.21,2.73m,4.42m,6.84m,
4000,3996.77,3.60m,6.93m,11.90m,
6000,5976.15,6.88m,16.56m,29.89m,
8000,7988.58,13.57m,34.05m,63.68m,
10000,9985.21,67.26m,384.51m,749.05m,
12000,10241.89,4.00,5.98,6.80,
14000,10267.16,7.74,11.00,12.02,
16000,9986.41,10.63,15.23,16.37,
18000,10226.00,12.31,17.84,19.32,
20000,10404.07,13.45,19.81,21.40,
22000,10158.22,14.30,21.94,23.79,
24000,10435.65,15.60,23.31,25.17,
26000,10161.74,15.84,24.59,26.48,
28000,10336.40,17.43,26.05,28.13,
30000,10350.44,17.83,27.18,29.21,
35000,10275.41,19.40,28.85,31.31,
40000,10122.20,20.33,30.95,33.31,
45000,10392.47,21.02,31.60,34.24,
50000,10051.07,21.56,33.00,35.49,
