load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,1.29m,2.02m,2.62m,0004200
50,51.35,1.47m,2.40m,5.88m,0002350
100,99.08,1.43m,2.38m,4.22m,
150,149.75,1.35m,2.08m,3.14m,
200,200.17,1.26m,1.86m,2.41m,
250,250.17,1.27m,1.88m,2.44m,
300,299.30,1.36m,2.13m,3.21m,
350,350.17,1.27m,1.86m,2.44m,
400,399.14,1.37m,2.13m,3.05m,
450,449.70,1.45m,2.28m,3.17m,
500,498.61,1.35m,2.09m,3.11m,
1000,1000.14,1.30m,1.90m,2.44m,
2000,1999.31,1.22m,1.83m,2.34m,
4000,3996.73,1.15m,1.78m,2.33m,
6000,5946.65,1.45m,2.49m,4.82m,
8000,7970.18,1.16m,1.98m,2.94m,
10000,9961.44,1.13m,1.99m,3.02m,
12000,11922.07,1.34m,2.24m,3.51m,
14000,13984.08,1.18m,1.95m,2.85m,
16000,15980.93,1.19m,1.97m,3.17m,
18000,17978.50,1.27m,2.16m,4.11m,
20000,19975.19,1.41m,2.47m,6.98m,
22000,21973.48,1.41m,2.92m,9.41m,
24000,23909.07,1.67m,6.14m,12.92m,
26000,25692.32,2.21m,8.61m,14.22m,
28000,27815.87,2.38m,9.54m,15.16m,
30000,29961.27,3.07m,10.73m,16.83m,
35000,34857.84,9.49m,24.09m,45.31m,
40000,39442.78,238.46m,605.18m,950.78m,
45000,39630.01,3.18,4.87,5.64,
50000,39697.87,5.62,8.49,9.44,
