Running 45s test @ http://10.10.1.5:5000
  8 threads and 200 connections
  Thread calibration: mean lat.: 1.478ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.485ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.488ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.568ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 2.583ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.455ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 1.531ms, rate sampling interval: 10ms
  Thread calibration: mean lat.: 3.255ms, rate sampling interval: 10ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency     1.68ms    2.88ms 201.60ms   99.65%
    Req/Sec    19.37     95.06     2.78k    92.62%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    1.52ms
 75.000%    2.10ms
 90.000%    2.66ms
 99.000%    3.89ms
 99.900%    5.01ms
 99.990%    5.73ms
 99.999%  201.73ms
100.000%  201.73ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.315     0.000000            2         1.00
       0.717     0.100000          520         1.11
       0.987     0.200000         1041         1.25
       1.201     0.300000         1563         1.43
       1.372     0.400000         2081         1.67
       1.523     0.500000         2600         2.00
       1.617     0.550000         2860         2.22
       1.720     0.600000         3123         2.50
       1.832     0.650000         3380         2.86
       1.965     0.700000         3640         3.33
       2.101     0.750000         3900         4.00
       2.173     0.775000         4038         4.44
       2.255     0.800000         4162         5.00
       2.339     0.825000         4293         5.71
       2.437     0.850000         4421         6.67
       2.549     0.875000         4550         8.00
       2.599     0.887500         4615         8.89
       2.661     0.900000         4682        10.00
       2.745     0.912500         4746        11.43
       2.821     0.925000         4810        13.33
       2.917     0.937500         4877        16.00
       2.973     0.943750         4908        17.78
       3.021     0.950000         4940        20.00
       3.089     0.956250         4973        22.86
       3.157     0.962500         5005        26.67
       3.277     0.968750         5039        32.00
       3.345     0.971875         5054        35.56
       3.405     0.975000         5070        40.00
       3.497     0.978125         5087        45.71
       3.569     0.981250         5103        53.33
       3.673     0.984375         5119        64.00
       3.727     0.985938         5128        71.11
       3.787     0.987500         5135        80.00
       3.879     0.989062         5144        91.43
       3.935     0.990625         5152       106.67
       4.051     0.992188         5161       128.00
       4.079     0.992969         5164       142.22
       4.135     0.993750         5168       160.00
       4.195     0.994531         5172       182.86
       4.283     0.995313         5176       213.33
       4.467     0.996094         5180       256.00
       4.495     0.996484         5182       284.44
       4.619     0.996875         5184       320.00
       4.687     0.997266         5186       365.71
       4.779     0.997656         5188       426.67
       4.867     0.998047         5190       512.00
       4.907     0.998242         5192       568.89
       4.907     0.998437         5192       640.00
       4.991     0.998633         5193       731.43
       5.011     0.998828         5194       853.33
       5.015     0.999023         5195      1024.00
       5.063     0.999121         5196      1137.78
       5.063     0.999219         5196      1280.00
       5.207     0.999316         5197      1462.86
       5.207     0.999414         5197      1706.67
       5.267     0.999512         5198      2048.00
       5.267     0.999561         5198      2275.56
       5.267     0.999609         5198      2560.00
       5.731     0.999658         5199      2925.71
       5.731     0.999707         5199      3413.33
       5.731     0.999756         5199      4096.00
       5.731     0.999780         5199      4551.11
       5.731     0.999805         5199      5120.00
     201.727     0.999829         5200      5851.43
     201.727     1.000000         5200          inf
#[Mean    =        1.682, StdDeviation   =        2.878]
#[Max     =      201.600, Total count    =         5200]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  6790 requests in 45.33s, 2.53MB read
  Non-2xx or 3xx responses: 4098
Requests/sec:    149.78
Transfer/sec:     57.10KB
