load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.52m,7.39m,10.30m,0004150
50,51.03,2.48m,6.82m,9.16m,0002350
100,99.19,2.52m,6.91m,11.38m,
150,150.17,2.26m,3.21m,4.07m,
200,200.16,2.28m,3.16m,4.04m,
250,247.97,2.48m,5.92m,10.51m,
300,300.16,2.24m,3.17m,4.12m,
350,348.05,2.45m,5.99m,9.88m,
400,399.06,2.36m,3.62m,6.82m,
450,452.91,2.24m,3.17m,4.01m,
500,500.14,2.27m,3.20m,4.04m,
1000,994.57,2.50m,7.26m,11.48m,
2000,1977.43,2.94m,13.22m,18.22m,
4000,3985.74,2.34m,4.44m,8.30m,
6000,5994.25,2.38m,4.28m,6.50m,
8000,7990.86,3.06m,7.20m,12.47m,
10000,9881.45,8.00m,18.46m,28.32m,
12000,11952.58,16.01m,29.98m,49.12m,
14000,13857.46,122.43m,386.56m,773.63m,
16000,14040.79,3.41,5.11,6.00,
18000,14017.06,5.79,8.78,9.85,
20000,14007.80,8.01,12.15,13.34,
22000,14164.64,9.71,14.75,16.04,
24000,14056.79,11.33,17.15,18.61,
26000,14054.69,12.49,18.91,20.50,
28000,13984.39,13.59,20.61,22.28,
30000,14070.31,14.61,21.94,23.74,
35000,14403.63,15.67,23.97,25.84,
40000,14381.70,17.48,26.41,28.49,
45000,14395.41,18.60,28.05,30.23,
50000,14531.77,19.40,29.25,31.54,
