load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.18m,1.69m,2.17m,0004200
50,52.03,1.16m,1.72m,2.17m,0002400
100,99.08,1.34m,2.19m,3.29m,
150,150.17,1.14m,1.67m,2.16m,
200,200.17,1.17m,1.71m,2.16m,
250,250.17,1.15m,1.70m,2.19m,
300,296.40,1.58m,2.77m,6.01m,
350,349.39,1.25m,1.93m,2.64m,
400,400.16,1.18m,1.69m,2.16m,
450,447.99,1.51m,2.56m,4.82m,
500,495.76,1.44m,2.38m,3.63m,
1000,984.04,1.77m,2.94m,6.13m,
2000,1999.32,1.14m,1.71m,2.17m,
4000,3996.68,1.03m,1.69m,2.10m,
6000,5994.26,1.04m,1.60m,2.06m,
8000,7970.17,1.11m,1.89m,2.80m,
10000,9909.96,1.43m,2.42m,4.30m,
12000,11986.68,1.06m,1.65m,2.13m,
14000,13946.99,1.08m,1.76m,2.72m,
16000,15896.45,1.20m,2.10m,3.50m,
18000,17978.68,1.08m,1.74m,2.38m,
20000,19765.53,1.57m,2.68m,6.97m,
22000,21974.60,1.14m,1.88m,5.43m,
24000,23845.12,1.40m,2.84m,8.88m,
26000,25898.59,1.41m,3.70m,11.61m,
28000,27894.58,1.45m,4.18m,10.49m,
30000,29961.99,1.44m,4.84m,11.01m,
35000,34956.31,2.21m,10.32m,23.10m,
40000,39836.81,7.94m,31.42m,68.48m,
45000,44786.56,141.95m,526.34m,885.76m,
50000,44722.54,2.69,4.37,5.39,
