load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.27m,3.23m,4.20m,0004200
50,52.02,2.24m,3.18m,4.26m,0002400
100,100.17,2.26m,3.17m,3.89m,
150,148.58,2.64m,8.87m,12.75m,
200,199.61,2.34m,3.59m,6.00m,
250,248.01,2.48m,6.27m,9.45m,
300,300.16,2.26m,3.18m,3.97m,
350,344.68,3.15m,13.30m,16.96m,
400,400.15,2.26m,3.18m,4.04m,
450,452.87,2.23m,3.15m,3.98m,
500,500.15,2.26m,3.19m,4.00m,
1000,1000.14,2.29m,3.19m,4.03m,
2000,1999.28,2.24m,3.18m,4.15m,
4000,3985.89,2.33m,4.40m,8.17m,
6000,5962.29,2.64m,8.94m,15.27m,
8000,7991.57,2.93m,6.49m,11.45m,
10000,9987.17,7.91m,18.75m,24.82m,
12000,11917.98,17.14m,31.84m,53.89m,
14000,13926.20,132.10m,388.10m,653.82m,
16000,14067.05,3.21,5.01,5.91,
18000,14038.61,5.87,9.15,10.20,
20000,14021.87,8.18,12.34,13.54,
22000,14155.57,9.76,14.61,15.93,
24000,14075.37,11.40,17.19,18.56,
26000,14274.69,12.12,18.43,19.99,
28000,14167.00,13.60,20.41,22.07,
30000,14123.22,14.44,22.00,23.66,
35000,14487.22,15.71,23.74,25.69,
40000,14573.34,17.37,26.36,28.31,
45000,14507.98,18.73,28.13,30.21,
50000,14562.14,19.61,29.39,31.64,
