load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.84m,10.97m,13.69m,0004100
50,51.50,2.11m,3.66m,6.47m,0002375
100,99.17,2.29m,5.03m,9.52m,
150,149.11,2.23m,4.89m,9.10m,
200,199.75,2.12m,3.81m,7.40m,
250,250.17,2.02m,3.37m,4.41m,
300,297.03,2.42m,8.23m,10.94m,
350,347.99,2.24m,5.18m,9.58m,
400,400.15,1.97m,3.35m,4.34m,
450,451.25,2.09m,3.80m,7.57m,
500,497.09,2.23m,4.91m,9.30m,
1000,986.51,2.97m,10.49m,14.08m,
2000,1988.36,2.23m,6.27m,10.40m,
4000,3996.76,1.91m,3.42m,5.07m,
6000,5994.17,1.94m,3.63m,5.69m,
8000,7991.42,2.06m,4.56m,7.07m,
10000,9935.63,2.55m,8.75m,13.49m,
12000,11985.13,3.50m,13.20m,20.51m,
14000,13981.83,5.79m,21.60m,35.81m,
16000,15978.72,18.01m,53.98m,112.13m,
18000,17844.26,65.09m,236.54m,456.45m,
20000,18811.92,1.46,2.87,3.75,
22000,18807.80,3.90,5.85,6.94,
24000,18733.07,5.92,8.92,10.22,
26000,19228.75,7.41,10.74,11.91,
28000,19518.49,8.18,12.33,13.78,
30000,19083.26,9.52,14.64,16.19,
35000,18922.20,9.95,14.83,16.47,
40000,18922.20,9.95,14.83,16.47,
45000,18922.20,9.95,14.83,16.47,
50000,18922.20,9.95,14.83,16.47,
