Running 45s test @ http://10.10.1.5:5000
  8 threads and 200 connections
  Thread calibration: mean lat.: 11.852ms, rate sampling interval: 50ms
  Thread calibration: mean lat.: 12.762ms, rate sampling interval: 54ms
  Thread calibration: mean lat.: 11.842ms, rate sampling interval: 50ms
  Thread calibration: mean lat.: 12.069ms, rate sampling interval: 51ms
  Thread calibration: mean lat.: 11.838ms, rate sampling interval: 50ms
  Thread calibration: mean lat.: 12.566ms, rate sampling interval: 53ms
  Thread calibration: mean lat.: 12.206ms, rate sampling interval: 51ms
  Thread calibration: mean lat.: 12.657ms, rate sampling interval: 54ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    12.24ms   10.82ms 145.15ms   76.43%
    Req/Sec     4.42k   312.73     5.68k    69.30%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%    9.98ms
 75.000%   16.93ms
 90.000%   25.97ms
 99.000%   50.24ms
 99.900%   75.01ms
 99.990%  100.03ms
 99.999%  129.73ms
100.000%  145.28ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.176     0.000000            1         1.00
       1.391     0.100000       122165         1.11
       2.905     0.200000       244165         1.25
       5.243     0.300000       366205         1.43
       7.599     0.400000       488206         1.67
       9.975     0.500000       610435         2.00
      11.135     0.550000       671405         2.22
      12.255     0.600000       732598         2.50
      13.559     0.650000       793442         2.86
      15.127     0.700000       854490         3.33
      16.927     0.750000       915793         4.00
      17.935     0.775000       946083         4.44
      19.071     0.800000       976408         5.00
      20.383     0.825000      1006916         5.71
      21.903     0.850000      1037466         6.67
      23.711     0.875000      1068055         8.00
      24.767     0.887500      1083158         8.89
      25.967     0.900000      1098530        10.00
      27.311     0.912500      1113674        11.43
      28.863     0.925000      1128869        13.33
      30.735     0.937500      1144177        16.00
      31.839     0.943750      1151788        17.78
      33.087     0.950000      1159544        20.00
      34.431     0.956250      1166989        22.86
      36.031     0.962500      1174685        26.67
      37.951     0.968750      1182283        32.00
      39.071     0.971875      1186060        35.56
      40.319     0.975000      1189896        40.00
      41.759     0.978125      1193752        45.71
      43.391     0.981250      1197534        53.33
      45.343     0.984375      1201340        64.00
      46.495     0.985938      1203241        71.11
      47.775     0.987500      1205120        80.00
      49.247     0.989062      1207042        91.43
      50.975     0.990625      1208984       106.67
      52.959     0.992188      1210849       128.00
      54.111     0.992969      1211795       142.22
      55.359     0.993750      1212748       160.00
      56.735     0.994531      1213709       182.86
      58.399     0.995313      1214663       213.33
      60.415     0.996094      1215621       256.00
      61.471     0.996484      1216087       284.44
      62.655     0.996875      1216564       320.00
      64.159     0.997266      1217046       365.71
      65.919     0.997656      1217529       426.67
      67.647     0.998047      1217991       512.00
      68.799     0.998242      1218239       568.89
      70.143     0.998437      1218472       640.00
      71.679     0.998633      1218716       731.43
      73.279     0.998828      1218947       853.33
      75.327     0.999023      1219185      1024.00
      76.479     0.999121      1219310      1137.78
      77.823     0.999219      1219422      1280.00
      79.167     0.999316      1219540      1462.86
      80.639     0.999414      1219660      1706.67
      83.135     0.999512      1219781      2048.00
      84.287     0.999561      1219841      2275.56
      85.823     0.999609      1219900      2560.00
      87.743     0.999658      1219957      2925.71
      89.279     0.999707      1220021      3413.33
      92.031     0.999756      1220079      4096.00
      92.927     0.999780      1220106      4551.11
      93.631     0.999805      1220138      5120.00
      95.039     0.999829      1220167      5851.43
      96.575     0.999854      1220196      6826.67
      98.431     0.999878      1220228      8192.00
      99.135     0.999890      1220242      9102.22
     100.159     0.999902      1220255     10240.00
     101.311     0.999915      1220270     11702.86
     102.271     0.999927      1220285     13653.33
     103.615     0.999939      1220300     16384.00
     104.383     0.999945      1220307     18204.44
     105.471     0.999951      1220315     20480.00
     106.559     0.999957      1220322     23405.71
     108.287     0.999963      1220330     27306.67
     109.119     0.999969      1220337     32768.00
     110.271     0.999973      1220341     36408.89
     110.911     0.999976      1220345     40960.00
     113.279     0.999979      1220348     46811.43
     114.367     0.999982      1220352     54613.33
     119.231     0.999985      1220357     65536.00
     124.735     0.999986      1220358     72817.78
     126.847     0.999988      1220360     81920.00
     129.343     0.999989      1220361     93622.86
     130.815     0.999991      1220363    109226.67
     134.527     0.999992      1220365    131072.00
     134.655     0.999993      1220366    145635.56
     135.679     0.999994      1220367    163840.00
     136.191     0.999995      1220368    187245.71
     137.727     0.999995      1220369    218453.33
     138.751     0.999996      1220370    262144.00
     138.751     0.999997      1220370    291271.11
     140.031     0.999997      1220371    327680.00
     140.031     0.999997      1220371    374491.43
     140.799     0.999998      1220372    436906.67
     140.799     0.999998      1220372    524288.00
     140.799     0.999998      1220372    582542.22
     141.183     0.999998      1220373    655360.00
     141.183     0.999999      1220373    748982.86
     141.183     0.999999      1220373    873813.33
     141.183     0.999999      1220373   1048576.00
     141.183     0.999999      1220373   1165084.44
     145.279     0.999999      1220374   1310720.00
     145.279     1.000000      1220374          inf
#[Mean    =       12.236, StdDeviation   =       10.822]
#[Max     =      145.152, Total count    =      1220374]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  1572365 requests in 44.99s, 401.23MB read
  Non-2xx or 3xx responses: 1564445
Requests/sec:  34952.01
Transfer/sec:      8.92MB
