load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.39m,2.04m,2.70m,0004175
50,49.68,1.86m,5.30m,8.81m,0002275
100,99.63,1.37m,2.03m,2.59m,
150,149.89,1.35m,2.12m,2.97m,
200,200.17,1.28m,1.90m,2.45m,
250,249.07,1.35m,2.09m,2.97m,
300,300.17,1.28m,1.88m,2.44m,
350,349.06,1.35m,2.06m,3.09m,
400,398.25,1.46m,2.49m,5.08m,
450,452.92,1.28m,1.88m,2.40m,
500,495.64,1.55m,2.62m,5.66m,
1000,997.39,1.34m,2.00m,2.70m,
2000,1999.31,1.23m,1.84m,2.38m,
4000,3996.88,1.13m,1.81m,2.34m,
6000,5961.89,1.31m,2.20m,4.03m,
8000,7991.40,1.05m,1.79m,2.49m,
10000,9988.54,1.06m,1.81m,2.67m,
12000,11986.50,1.18m,1.90m,2.82m,
14000,13983.86,1.18m,1.98m,3.30m,
16000,15938.08,1.30m,2.37m,5.62m,
18000,17978.49,1.28m,2.27m,6.03m,
20000,19922.14,1.56m,3.48m,10.06m,
22000,21915.94,1.69m,5.68m,12.77m,
24000,23970.58,1.69m,6.53m,12.84m,
26000,25764.70,2.19m,8.74m,14.35m,
28000,27890.52,2.51m,9.85m,15.64m,
30000,29806.37,3.62m,11.66m,18.85m,
35000,34947.73,10.83m,28.19m,53.82m,
40000,38830.48,665.09m,1.29,1.74,
45000,39049.58,3.45,5.32,6.12,
50000,37746.07,6.65,10.01,11.04,
