load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.10m,3.73m,8.53m,0004175
50,52.02,1.99m,3.37m,4.60m,0002400
100,98.04,3.18m,11.04m,14.15m,
150,147.99,2.76m,7.86m,12.17m,
200,199.10,2.33m,5.19m,9.69m,
250,246.89,2.46m,8.22m,10.94m,
300,297.99,2.29m,5.50m,9.73m,
350,350.16,1.98m,3.38m,4.40m,
400,400.16,1.99m,3.38m,4.40m,
450,452.89,1.99m,3.34m,4.43m,
500,500.13,2.03m,3.38m,4.41m,
1000,983.50,3.03m,12.30m,15.90m,
2000,1993.66,2.09m,3.85m,7.72m,
4000,3996.58,1.90m,3.44m,5.16m,
6000,5994.36,1.95m,3.63m,5.64m,
8000,7906.42,2.46m,8.63m,12.55m,
10000,9988.06,2.49m,6.91m,10.55m,
12000,11985.18,3.44m,13.26m,20.48m,
14000,13980.02,6.28m,22.66m,37.50m,
16000,15893.46,18.35m,55.55m,111.49m,
18000,17744.20,115.78m,449.02m,808.45m,
20000,18599.32,1.79,3.22,4.22,
22000,18618.56,4.17,6.37,7.41,
24000,19080.90,5.31,8.52,9.76,
26000,18728.86,7.74,11.51,12.90,
28000,18866.71,8.54,13.07,14.56,
30000,18682.35,10.27,15.43,17.01,
35000,18922.20,9.95,14.83,16.47,
40000,18922.20,9.95,14.83,16.47,
45000,18922.20,9.95,14.83,16.47,
50000,18922.20,9.95,14.83,16.47,
