load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,1.25m,1.85m,2.56m,0004200
50,51.42,1.48m,2.54m,4.20m,0002350
100,99.62,1.36m,2.11m,3.21m,
150,150.17,1.27m,1.90m,2.44m,
200,199.73,1.37m,2.19m,3.37m,
250,249.09,1.37m,2.05m,3.24m,
300,299.37,1.36m,2.10m,2.92m,
350,348.15,1.43m,2.37m,4.93m,
400,397.96,1.43m,2.33m,4.45m,
450,452.92,1.27m,1.88m,2.42m,
500,500.16,1.27m,1.89m,2.42m,
1000,991.91,1.58m,2.82m,5.67m,
2000,1993.84,1.30m,2.02m,3.06m,
4000,3986.21,1.21m,2.01m,3.08m,
6000,5978.31,1.22m,1.95m,2.93m,
8000,7991.50,1.05m,1.80m,2.53m,
10000,9935.44,1.29m,2.35m,4.47m,
12000,11953.93,1.27m,2.13m,3.64m,
14000,13908.86,1.41m,2.53m,6.38m,
16000,15897.07,1.34m,2.38m,4.92m,
18000,17882.21,1.47m,3.33m,8.23m,
20000,19975.51,1.44m,3.01m,9.59m,
22000,21970.46,1.55m,5.19m,12.42m,
24000,23970.05,1.67m,6.39m,12.57m,
26000,25898.62,2.06m,8.35m,14.07m,
28000,27965.43,2.49m,9.73m,15.26m,
30000,29959.78,3.72m,11.69m,18.86m,
35000,34947.53,9.96m,25.63m,49.06m,
40000,38567.70,827.90m,1.57,2.15,
45000,38981.91,3.64,5.49,6.32,
50000,38958.50,5.82,8.91,9.90,
