load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.67m,4.12m,7.24m,0004175
50,50.51,3.41m,13.34m,17.90m,0002325
100,99.15,2.98m,7.77m,11.92m,
150,150.17,2.59m,4.02m,5.43m,
200,198.46,3.82m,14.05m,18.67m,
250,250.15,2.54m,3.98m,5.56m,
300,297.97,3.02m,8.69m,13.54m,
350,347.94,3.01m,9.09m,13.17m,
400,395.66,5.85m,17.71m,22.83m,
450,452.87,2.56m,3.97m,5.33m,
500,498.47,2.71m,4.61m,9.20m,
1000,997.28,2.83m,5.55m,10.72m,
2000,1988.23,3.51m,11.78m,18.01m,
4000,3996.57,3.56m,6.76m,11.31m,
6000,5992.85,6.14m,14.58m,27.34m,
8000,7966.70,14.16m,36.67m,72.13m,
10000,9892.40,195.20m,588.80m,958.46m,
12000,10151.95,4.31,6.24,7.12,
14000,10432.88,7.07,10.50,11.53,
16000,10221.97,9.92,14.81,16.24,
18000,10165.26,12.00,18.12,19.53,
20000,10284.94,13.60,20.25,21.74,
22000,9777.39,15.20,22.77,24.74,
24000,10161.28,15.84,23.67,25.72,
26000,10264.19,16.70,25.17,26.97,
28000,9914.03,17.84,26.85,28.79,
30000,9890.81,18.81,27.77,29.85,
35000,9941.36,19.40,29.62,31.87,
40000,10267.59,20.14,30.83,33.11,
45000,10063.44,21.27,31.78,34.47,
50000,10189.90,21.64,32.98,35.42,
