load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,1.13m,1.66m,1.98m,0004200
50,52.02,1.15m,1.68m,2.15m,0002400
100,100.06,1.23m,1.85m,2.47m,
150,149.35,1.32m,2.22m,3.78m,
200,198.79,1.37m,2.28m,3.48m,
250,247.05,1.43m,2.47m,4.77m,
300,298.31,1.29m,2.09m,3.19m,
350,348.01,1.33m,2.22m,3.97m,
400,400.17,1.16m,1.71m,2.14m,
450,451.58,1.20m,1.81m,2.52m,
500,497.20,1.31m,2.10m,3.70m,
1000,1000.13,1.17m,1.72m,2.18m,
2000,1993.77,1.20m,1.90m,2.96m,
4000,3996.69,1.03m,1.70m,2.11m,
6000,5978.38,1.11m,1.83m,2.73m,
8000,7949.03,1.33m,2.16m,3.11m,
10000,9988.54,1.04m,1.78m,2.24m,
12000,11986.50,1.05m,1.66m,2.16m,
14000,13985.01,1.02m,1.63m,2.19m,
16000,15980.89,1.05m,1.68m,2.29m,
18000,17883.20,1.24m,2.23m,4.53m,
20000,19924.33,1.31m,2.12m,4.23m,
22000,21917.45,1.21m,2.12m,6.02m,
24000,23970.88,1.20m,2.16m,8.18m,
26000,25831.80,1.50m,3.66m,11.17m,
28000,27819.14,1.51m,4.20m,10.85m,
30000,29875.15,1.56m,5.17m,11.53m,
35000,34775.90,2.23m,9.23m,19.79m,
40000,39837.47,4.76m,19.53m,40.67m,
45000,44930.38,9.05m,35.62m,74.37m,
50000,49747.80,30.16m,107.52m,225.28m,
