load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,2.52m,4.11m,5.63m,0004200
50,52.02,2.57m,4.04m,5.70m,0002400
100,99.10,3.01m,9.05m,12.59m,
150,150.17,2.58m,4.05m,5.77m,
200,199.58,2.85m,5.37m,10.18m,
250,250.16,2.59m,4.01m,5.53m,
300,297.94,3.04m,6.33m,10.00m,
350,350.15,2.56m,3.96m,5.39m,
400,396.78,3.77m,14.23m,19.57m,
450,451.23,2.75m,5.07m,9.97m,
500,496.85,3.06m,9.35m,13.18m,
1000,994.54,3.20m,10.64m,15.26m,
2000,1999.23,2.73m,4.35m,6.81m,
4000,3996.42,3.60m,6.78m,11.57m,
6000,5976.81,6.65m,15.71m,27.55m,
8000,7968.86,14.53m,37.73m,88.25m,
10000,9949.67,108.10m,380.93m,635.39m,
12000,9864.44,5.24,7.39,8.22,
14000,10330.65,6.89,10.89,11.78,
16000,10045.47,10.39,15.34,16.67,
18000,10253.26,11.85,17.71,19.19,
20000,10419.52,13.13,19.97,21.33,
22000,10108.50,15.14,22.23,24.10,
24000,10112.36,16.10,24.18,25.84,
26000,10050.10,16.49,25.15,27.28,
28000,10201.82,17.43,26.48,28.33,
30000,10099.84,18.09,27.34,29.64,
35000,10160.66,19.66,29.41,31.64,
40000,10007.70,20.41,31.10,33.41,
45000,10063.41,21.33,32.18,34.60,
50000,10080.20,21.74,32.85,35.52,
