load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,1.35m,2.00m,2.51m,0004200
50,52.03,1.28m,1.90m,2.45m,0002400
100,100.02,1.37m,2.07m,3.14m,
150,150.17,1.27m,1.91m,2.47m,
200,200.17,1.28m,1.91m,2.54m,
250,249.07,1.33m,2.05m,2.89m,
300,295.07,1.80m,3.13m,9.32m,
350,346.84,1.57m,2.45m,4.86m,
400,400.16,1.24m,1.85m,2.38m,
450,452.91,1.26m,1.88m,2.46m,
500,495.33,1.57m,2.74m,5.79m,
1000,1000.13,1.29m,1.90m,2.45m,
2000,1982.93,1.48m,2.60m,5.61m,
4000,3985.69,1.18m,1.92m,2.98m,
6000,5994.42,1.15m,1.78m,2.33m,
8000,7991.47,1.05m,1.78m,2.48m,
10000,9962.15,1.18m,2.10m,3.20m,
12000,11923.06,1.31m,2.38m,5.38m,
14000,13945.03,1.25m,2.12m,4.20m,
16000,15895.38,1.39m,2.70m,7.04m,
18000,17978.69,1.29m,2.30m,6.41m,
20000,19660.40,2.13m,7.20m,13.51m,
22000,21915.22,1.57m,5.01m,11.87m,
24000,23968.05,1.70m,6.71m,12.98m,
26000,25898.19,2.04m,8.41m,14.06m,
28000,27892.22,2.54m,9.81m,15.49m,
30000,29884.06,3.62m,11.52m,18.16m,
35000,34493.68,9.97m,25.71m,48.93m,
40000,38856.55,611.33m,1.18,1.67,
45000,38951.68,3.64,5.56,6.39,
50000,37607.97,6.71,10.11,11.14,
