load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,2.50m,4.00m,5.49m,0004200
50,52.03,2.60m,4.02m,5.62m,0002400
100,100.17,2.56m,3.91m,5.51m,
150,149.06,3.02m,9.23m,13.29m,
200,200.17,2.56m,4.02m,5.41m,
250,250.16,2.52m,3.99m,5.38m,
300,292.42,14.69m,23.28m,29.17m,
350,350.14,2.57m,4.00m,5.53m,
400,400.16,2.53m,3.97m,5.31m,
450,452.86,2.58m,4.05m,5.71m,
500,500.15,2.53m,4.01m,5.59m,
1000,994.51,3.19m,10.40m,15.22m,
2000,1999.26,2.70m,4.31m,6.67m,
4000,3974.85,4.82m,13.65m,21.50m,
6000,5993.91,5.45m,12.89m,24.40m,
8000,7944.88,15.57m,38.62m,71.10m,
10000,9980.80,47.78m,191.74m,365.05m,
12000,10315.78,3.70,5.64,6.46,
14000,10237.68,7.32,11.22,12.17,
16000,10113.06,10.39,15.14,16.36,
18000,10209.62,12.09,17.73,19.28,
20000,10318.50,13.30,20.04,21.50,
22000,10183.81,14.47,22.33,23.97,
24000,10215.09,15.52,23.64,25.58,
26000,10331.08,16.57,24.92,26.71,
28000,10148.58,17.47,26.31,28.43,
30000,10144.15,17.63,26.80,29.08,
35000,10089.43,19.48,29.28,31.54,
40000,10190.64,20.61,30.88,33.19,
45000,10158.35,21.12,31.74,34.28,
50000,10005.14,21.77,33.03,35.59,
