load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,2.25m,6.14m,10.47m,0004150
50,51.59,2.09m,3.67m,6.53m,0002375
100,100.17,2.03m,3.43m,4.48m,
150,149.68,2.08m,3.75m,6.68m,
200,200.17,2.02m,3.35m,4.36m,
250,244.72,3.11m,10.64m,14.29m,
300,300.16,1.97m,3.37m,4.39m,
350,350.14,1.98m,3.33m,4.31m,
400,399.02,2.12m,3.80m,7.74m,
450,452.89,1.98m,3.36m,4.39m,
500,500.15,2.01m,3.38m,4.37m,
1000,1000.09,1.99m,3.37m,4.42m,
2000,1988.26,2.18m,4.48m,7.67m,
4000,3996.59,1.90m,3.41m,5.11m,
6000,5993.89,1.94m,3.60m,5.58m,
8000,7969.97,2.12m,4.89m,8.41m,
10000,9988.52,2.47m,6.90m,10.44m,
12000,11985.27,3.41m,12.86m,20.37m,
14000,13980.88,6.77m,23.30m,39.39m,
16000,15932.47,17.15m,49.60m,102.08m,
18000,17904.29,52.13m,201.60m,400.64m,
20000,19003.06,1.44,2.43,3.15,
22000,18678.76,4.43,6.28,7.34,
24000,18376.45,6.03,9.36,10.76,
26000,19028.80,6.85,10.73,11.96,
28000,18906.38,8.48,13.19,14.75,
30000,18881.33,10.47,15.36,16.72,
35000,18922.20,9.95,14.83,16.47,
40000,18922.20,9.95,14.83,16.47,
45000,18922.20,9.95,14.83,16.47,
50000,18922.20,9.95,14.83,16.47,
