load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.98m,3.35m,6.39m,0004175
50,51.53,2.01m,3.04m,5.27m,0002375
100,100.17,1.90m,2.73m,3.64m,
150,150.17,1.89m,2.70m,3.59m,
200,199.61,2.02m,3.09m,5.86m,
250,250.16,1.91m,2.74m,3.90m,
300,300.16,1.90m,2.76m,3.80m,
350,349.05,2.00m,3.09m,4.78m,
400,399.03,2.00m,3.16m,5.54m,
450,452.90,1.91m,2.71m,3.69m,
500,500.15,1.90m,2.73m,3.71m,
1000,1000.13,1.94m,2.78m,3.83m,
2000,1999.26,1.90m,2.76m,3.83m,
4000,3996.61,1.95m,2.90m,4.29m,
6000,5994.20,1.93m,3.04m,4.75m,
8000,7970.01,2.16m,4.07m,7.67m,
10000,9988.25,2.33m,4.78m,8.79m,
12000,11953.92,2.72m,7.14m,12.76m,
14000,13945.16,3.75m,10.86m,21.92m,
16000,15975.38,6.34m,17.73m,34.30m,
18000,17920.48,11.37m,33.28m,73.73m,
20000,19900.65,23.39m,87.49m,173.18m,
22000,21920.59,91.78m,311.81m,581.63m,
24000,22409.54,1.34,2.30,2.94,
26000,22620.71,3.32,5.10,5.85,
28000,22876.76,4.98,7.55,8.42,
30000,22688.42,6.61,9.83,10.90,
35000,22609.16,9.51,14.45,15.66,
40000,22442.37,11.77,18.04,19.42,
45000,22889.44,13.73,20.43,21.92,
50000,22134.25,15.11,22.64,24.56,
