load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,2.21m,3.57m,4.24m,0004125
50,50.61,2.28m,6.59m,11.94m,0002325
100,99.08,2.09m,3.44m,4.77m,
150,150.17,1.90m,2.73m,3.84m,
200,199.66,1.98m,3.12m,5.31m,
250,249.06,2.00m,3.07m,4.81m,
300,300.16,1.93m,2.76m,3.73m,
350,349.08,2.01m,3.11m,5.11m,
400,400.15,1.92m,2.71m,3.57m,
450,452.88,1.91m,2.71m,3.71m,
500,498.62,2.04m,3.11m,5.18m,
1000,991.80,2.27m,6.51m,9.60m,
2000,1999.25,1.90m,2.77m,3.88m,
4000,3996.70,1.92m,2.88m,4.29m,
6000,5961.82,2.13m,5.16m,9.57m,
8000,7991.26,2.07m,3.52m,5.84m,
10000,9988.66,2.35m,4.88m,8.83m,
12000,11954.69,2.71m,7.16m,13.10m,
14000,13945.98,3.72m,10.85m,20.78m,
16000,15980.86,5.86m,17.10m,32.59m,
18000,17883.33,10.99m,32.19m,70.65m,
20000,19693.66,17.90m,63.55m,129.34m,
22000,21920.69,100.10m,289.54m,521.22m,
24000,23073.15,1.18,1.87,2.35,
26000,22616.12,3.36,5.31,6.16,
28000,22827.55,4.68,7.52,8.38,
30000,22711.39,6.37,9.92,11.00,
35000,22826.31,9.63,14.55,15.63,
40000,23178.99,11.44,17.42,18.74,
45000,22861.79,13.21,19.91,21.58,
50000,22853.69,14.99,22.51,24.18,
