Running 45s test @ http://10.10.1.1:5000
  8 threads and 200 connections
  Thread calibration: mean lat.: 14.891ms, rate sampling interval: 65ms
  Thread calibration: mean lat.: 13.669ms, rate sampling interval: 58ms
  Thread calibration: mean lat.: 14.404ms, rate sampling interval: 62ms
  Thread calibration: mean lat.: 16.097ms, rate sampling interval: 67ms
  Thread calibration: mean lat.: 14.664ms, rate sampling interval: 63ms
  Thread calibration: mean lat.: 15.872ms, rate sampling interval: 68ms
  Thread calibration: mean lat.: 13.799ms, rate sampling interval: 58ms
  Thread calibration: mean lat.: 14.660ms, rate sampling interval: 61ms
  Thread Stats   Avg      Stdev     Max   +/- Stdev
    Latency    14.66ms   14.59ms 183.55ms   87.96%
    Req/Sec     2.27k   216.30     3.24k    71.44%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   10.99ms
 75.000%   18.99ms
 90.000%   32.19ms
 99.000%   70.65ms
 99.900%  106.75ms
 99.990%  138.62ms
 99.999%  167.04ms
100.000%  183.68ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       0.274     0.000000            1         1.00
       1.609     0.100000        62818         1.11
       3.251     0.200000       125587         1.25
       5.907     0.300000       188415         1.43
       8.463     0.400000       251148         1.67
      10.991     0.500000       313960         2.00
      12.335     0.550000       345373         2.22
      13.647     0.600000       376652         2.50
      15.127     0.650000       408032         2.86
      16.831     0.700000       439583         3.33
      18.991     0.750000       470958         4.00
      20.303     0.775000       486550         4.44
      21.855     0.800000       502295         5.00
      23.743     0.825000       517891         5.71
      25.951     0.850000       533636         6.67
      28.703     0.875000       549313         8.00
      30.335     0.887500       557133         8.89
      32.191     0.900000       564998        10.00
      34.431     0.912500       572882        11.43
      36.991     0.925000       580669        13.33
      40.063     0.937500       588501        16.00
      41.823     0.943750       592420        17.78
      43.871     0.950000       596331        20.00
      46.111     0.956250       600247        22.86
      48.863     0.962500       604210        26.67
      51.903     0.968750       608130        32.00
      53.663     0.971875       610075        35.56
      55.615     0.975000       612024        40.00
      57.823     0.978125       613984        45.71
      60.383     0.981250       615944        53.33
      63.423     0.984375       617904        64.00
      65.119     0.985938       618885        71.11
      67.007     0.987500       619867        80.00
      69.183     0.989062       620847        91.43
      71.615     0.990625       621823       106.67
      74.495     0.992188       622806       128.00
      76.223     0.992969       623309       142.22
      78.015     0.993750       623783       160.00
      80.063     0.994531       624286       182.86
      82.495     0.995313       624767       213.33
      85.439     0.996094       625261       256.00
      87.039     0.996484       625499       284.44
      89.151     0.996875       625751       320.00
      91.327     0.997266       625990       365.71
      93.695     0.997656       626234       426.67
      96.767     0.998047       626480       512.00
      98.495     0.998242       626605       568.89
     100.607     0.998437       626732       640.00
     102.463     0.998633       626849       731.43
     104.895     0.998828       626971       853.33
     107.199     0.999023       627096      1024.00
     109.119     0.999121       627155      1137.78
     110.783     0.999219       627215      1280.00
     112.255     0.999316       627277      1462.86
     114.495     0.999414       627338      1706.67
     116.991     0.999512       627400      2048.00
     118.911     0.999561       627431      2275.56
     120.639     0.999609       627460      2560.00
     122.751     0.999658       627491      2925.71
     124.991     0.999707       627522      3413.33
     127.679     0.999756       627552      4096.00
     129.535     0.999780       627569      4551.11
     130.687     0.999805       627585      5120.00
     131.967     0.999829       627598      5851.43
     134.143     0.999854       627614      6826.67
     135.551     0.999878       627629      8192.00
     136.703     0.999890       627637      9102.22
     139.007     0.999902       627644     10240.00
     140.927     0.999915       627652     11702.86
     142.335     0.999927       627660     13653.33
     145.535     0.999939       627667     16384.00
     146.175     0.999945       627671     18204.44
     147.967     0.999951       627675     20480.00
     150.143     0.999957       627679     23405.71
     151.423     0.999963       627683     27306.67
     152.703     0.999969       627686     32768.00
     154.111     0.999973       627688     36408.89
     155.007     0.999976       627691     40960.00
     155.519     0.999979       627692     46811.43
     157.439     0.999982       627694     54613.33
     161.919     0.999985       627696     65536.00
     163.839     0.999986       627697     72817.78
     165.119     0.999988       627698     81920.00
     167.039     0.999989       627699     93622.86
     170.239     0.999991       627700    109226.67
     176.767     0.999992       627701    131072.00
     176.767     0.999993       627701    145635.56
     180.351     0.999994       627702    163840.00
     180.351     0.999995       627702    187245.71
     180.735     0.999995       627703    218453.33
     180.735     0.999996       627703    262144.00
     180.735     0.999997       627703    291271.11
     183.295     0.999997       627704    327680.00
     183.295     0.999997       627704    374491.43
     183.295     0.999998       627704    436906.67
     183.295     0.999998       627704    524288.00
     183.295     0.999998       627704    582542.22
     183.679     0.999998       627705    655360.00
     183.679     1.000000       627705          inf
#[Mean    =       14.662, StdDeviation   =       14.592]
#[Max     =      183.552, Total count    =       627705]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  804621 requests in 44.99s, 205.02MB read
  Non-2xx or 3xx responses: 796478
Requests/sec:  17883.33
Transfer/sec:      4.56MB
