load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,3.64m,14.63m,19.15m,0004125
50,51.57,2.73m,4.35m,7.03m,0002375
100,100.17,2.48m,3.93m,5.31m,
150,149.06,2.99m,9.41m,12.68m,
200,200.16,2.58m,4.01m,5.45m,
250,249.05,2.74m,4.57m,7.85m,
300,299.09,2.78m,4.64m,8.94m,
350,349.05,2.73m,4.55m,8.41m,
400,400.15,2.54m,4.03m,5.88m,
450,452.80,2.56m,4.01m,5.53m,
500,498.50,2.76m,4.55m,8.92m,
1000,988.81,5.31m,16.42m,21.15m,
2000,1993.62,3.10m,7.42m,13.00m,
4000,3985.58,4.00m,9.50m,16.77m,
6000,5946.12,8.53m,18.96m,29.30m,
8000,7989.08,14.35m,36.48m,73.92m,
10000,9959.29,78.01m,341.25m,610.82m,
12000,10300.72,3.68,5.53,6.34,
14000,10349.43,6.52,10.49,11.58,
16000,10245.17,9.79,14.62,16.03,
18000,10248.04,11.20,17.29,18.99,
20000,10293.99,13.39,20.46,21.71,
22000,10284.87,14.95,22.04,23.63,
24000,10072.20,15.67,24.17,25.74,
26000,10382.30,16.18,24.76,26.71,
28000,10459.56,17.29,26.12,27.97,
30000,10231.36,18.25,27.44,29.44,
35000,10378.30,19.60,29.02,31.29,
40000,10061.18,20.17,30.95,33.26,
45000,10368.16,20.81,31.69,34.11,
50000,10680.76,21.64,32.54,35.03,
