load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.01,1.40m,2.33m,3.21m,0004150
50,52.02,1.16m,1.69m,2.17m,0002400
100,100.17,1.15m,1.72m,2.18m,
150,150.17,1.15m,1.67m,2.17m,
200,200.17,1.13m,1.69m,2.12m,
250,249.07,1.22m,1.86m,3.04m,
300,297.37,1.39m,2.29m,3.31m,
350,347.95,1.30m,2.13m,3.13m,
400,400.16,1.13m,1.70m,2.13m,
450,452.94,1.17m,1.69m,2.19m,
500,498.52,1.24m,1.87m,2.66m,
1000,992.55,1.46m,2.48m,3.81m,
2000,1993.92,1.23m,1.93m,2.94m,
4000,3986.29,1.13m,1.90m,2.78m,
6000,5994.32,1.04m,1.61m,2.09m,
8000,7970.01,1.19m,1.93m,2.91m,
10000,9910.14,1.40m,2.39m,4.14m,
12000,11986.37,1.07m,1.67m,2.22m,
14000,13947.20,1.10m,1.82m,2.99m,
16000,15895.70,1.23m,2.18m,4.33m,
18000,17884.58,1.23m,2.19m,4.82m,
20000,19976.01,1.32m,2.17m,6.41m,
22000,21973.23,1.21m,2.33m,9.37m,
24000,23970.84,1.29m,3.22m,10.92m,
26000,25900.58,1.44m,4.21m,11.24m,
28000,27965.42,1.43m,5.30m,11.79m,
30000,29963.76,1.53m,6.34m,12.97m,
35000,34865.97,2.42m,10.93m,24.03m,
40000,39711.07,8.01m,32.67m,71.87m,
45000,44601.90,101.63m,328.45m,618.49m,
50000,44815.35,2.48,4.16,5.23,
