load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,1.28m,1.99m,3.16m,0004175
50,52.02,1.18m,1.66m,2.15m,0002400
100,100.17,1.17m,1.69m,2.16m,
150,150.07,1.23m,1.92m,2.69m,
200,200.17,1.17m,1.70m,2.18m,
250,250.17,1.18m,1.69m,2.16m,
300,300.16,1.19m,1.72m,2.18m,
350,350.16,1.11m,1.69m,2.15m,
400,400.16,1.17m,1.68m,2.16m,
450,449.47,1.42m,2.41m,3.72m,
500,498.65,1.25m,1.94m,2.80m,
1000,1000.14,1.17m,1.70m,2.17m,
2000,1999.30,1.13m,1.71m,2.16m,
4000,3996.65,1.04m,1.67m,2.11m,
6000,5978.66,1.12m,1.79m,2.63m,
8000,7991.72,1.04m,1.74m,2.14m,
10000,9988.74,1.06m,1.81m,2.19m,
12000,11954.18,1.12m,1.87m,2.83m,
14000,13909.04,1.21m,2.09m,2.94m,
16000,15980.96,1.04m,1.66m,2.13m,
18000,17978.78,1.07m,1.72m,2.45m,
20000,19924.25,1.25m,2.12m,4.16m,
22000,21915.67,1.20m,2.10m,6.21m,
24000,23908.01,1.28m,2.55m,9.46m,
26000,25898.81,1.40m,3.93m,11.81m,
28000,27963.71,1.36m,3.87m,10.31m,
30000,29806.08,1.60m,5.14m,11.40m,
35000,34955.88,2.32m,10.98m,24.93m,
40000,39944.18,8.10m,32.77m,71.74m,
45000,44526.26,135.55m,400.38m,754.69m,
50000,44522.48,2.82,4.46,5.46,
