load_rps,req_per_sec,p50_ms,p90_ms,p99_ms,errors
10,13.00,1.23m,1.89m,2.24m,0004200
50,52.02,1.31m,1.93m,2.56m,0002400
100,100.17,1.30m,1.92m,2.42m,
150,150.17,1.26m,1.88m,2.45m,
200,200.17,1.24m,1.85m,2.41m,
250,248.15,1.44m,2.21m,3.27m,
300,298.66,1.46m,2.39m,4.55m,
350,346.04,1.70m,2.65m,4.72m,
400,400.16,1.27m,1.88m,2.42m,
450,452.91,1.26m,1.88m,2.46m,
500,500.16,1.28m,1.89m,2.46m,
1000,1000.14,1.29m,1.90m,2.49m,
2000,1999.30,1.22m,1.84m,2.36m,
4000,3996.64,1.15m,1.80m,2.30m,
6000,5978.59,1.22m,1.95m,2.80m,
8000,7970.10,1.15m,2.02m,3.04m,
10000,9936.42,1.25m,2.27m,4.01m,
12000,11954.15,1.26m,2.08m,3.55m,
14000,13983.96,1.17m,1.93m,2.81m,
16000,15937.48,1.28m,2.23m,4.54m,
18000,17883.98,1.47m,2.91m,7.69m,
20000,19975.34,1.42m,2.54m,7.08m,
22000,21973.63,1.40m,2.86m,9.18m,
24000,23780.76,1.90m,7.22m,13.57m,
26000,25968.48,1.78m,6.99m,12.81m,
28000,27892.98,2.17m,8.95m,14.38m,
30000,29962.67,3.09m,10.77m,16.91m,
35000,34946.10,9.29m,23.63m,44.67m,
40000,39393.90,209.41m,525.31m,889.85m,
45000,39094.18,3.51,5.43,6.25,
50000,39734.02,5.38,8.21,9.18,
